1356868800,0,17,0,39,17,11,0,0,0,18,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,6,0,0,45,34,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,1,1,8,2,2,4,8,2,23,1,3,0,47,0,28,0,13,18,0,0,17,0,9,48,0,9,21,4,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,3,0,0,0,46,0,0,0,0,0,0,0,0,0,1,0,4,41,27,0,0,1,1,0,1,0,0,0,0,0,0,2,0,20,42,23,10,7,11,9,0,24,0,6,28,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,45,0,0,0,0,0,6,2,0,2,9,5,10,9,3,13,14,2,10,2,20,13,2,0,37,0,30,0,0,0,0,0,38,0,43,26,0,19,0,0,0,21,21,42,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,49,0,32,0,0,16,31,0,49,0,30,29,30,0,37,0,42,32,15,41,44,5,1,1,2,2,3,2,3
1356868800,0,0,0,0,33,30,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,8,0,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,35,0,49,0,9,35,0,9,41,23,42,0,0,9,27,8,26,0,0,0,0,0,17,28,0,0,21,0,11,0,0,32,14,11,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,27,44,0,0,0,0,0,0,0,0,2,0,3,0,7,0,0,4,13,0,4,0,0,0,0,0,0,8,0,13,0,0,39,16,46,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,46,4,29,23,27,15,13,30,23,4,16,0,35,23,9,0,0,0,0,0,36,0,0,0,45,0,40,22,0,0,0,0,0,36,20,35,0,0,0,43,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,47,0,0,0,0,43,0,0,48,0,44,47,10,37,0,6,44,11,4,7,21,6,4
1356868800,40,24,49,12,34,21,0,0,0,24,50,0,0,0,0,37,40,41,0,50,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,0,0,48,0,0,6,28,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,5,0,0,0,44,0,29,24,0,0,0,0,0,0,0,0,0,0,3,0,1,9,0,0,16,0,10,0,16,14,0,0,0,43,11,0,0,2,10,18,15,0,10,23,0,9,0,8,10,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,28,0,0,28,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,0,0,0,0,0,0,27,0,0,0,0,0,0,28,0,0,0,0,0,0,49,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,12,23,14,13,13,16,0,0,0,47,0,0,12,19,21,1,0,16,39,24
1356868800,0,0,0,0,0,39,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,19,13,0,12,13,21,12,31,16,13,5,6,0,0,0,0,0,0,0,0,0,0,0,0,14,39,0,0,29,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,26,0,0,8,8,0,3,0,0,0,0,0,0,28,0,0,0,39,36,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,3,0,25,29,8,5,0,15,10,15,13,0,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,41,30,0,0,24,34,2,14,9,28,20,18
1356868800,0,0,39,0,25,13,0,18,29,0,30,0,0,0,35,32,0,0,0,0,0,0,0,0,0,0,0,43,39,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,0,0,0,0,0,25,0,0,0,0,45,0,0,36,0,9,0,39,7,0,25,39,0,27,40,0,0,5,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,9,44,0,0,0,0,34,18,0,0,23,0,29,13,18,0,0,0,5,0,13,0,0,0,0,0,0,5,24,31,6,0,0,0,25,0,45,0,25,38,24,0,23,30,0,0,0,27,29,0,0,0,0,0,0,0,13,0,0,40,0,0,0,19,0,0,0,0,31,44,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,46,0,28,21,22,0,0,0,0,0,0,34,0,0,0,46,0,0,34,0,0,0,0,0,0,0,0,37,0,0,32,0,0,0,29,0,0,0,0,0,0,0,0,0,0,35,18,0,0,1,16,11,21,14,46,26,0,0,46,0,23,3,8,25,45,24,14,5,1
1356868800,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1356868800,0,0,0,31,10,19,43,9,35,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,39,0,0,0,0,0,0,0,48,0,47,34,6,5,0,50,0,25,0,0,27,0,29,41,0,24,0,0,16,0,13,0,15,12,46,2,20,0,22,31,0,0,15,36,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,43,22,0,0,14,0,0,17,42,0,0,0,7,0,24,0,0,7,0,0,0,0,36,27,29,33,0,0,39,0,0,0,34,0,31,0,16,35,0,0,0,0,34,0,0,0,0,0,0,46,0,0,0,19,50,0,0,21,0,0,0,10,0,31,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,44,0,27,14,8,0,0,0,30,0,0,41,31,36,49,43,0,0,0,7,30,48,34,0,0,17,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,38,12,0,46,5,0,6,15,16,22,31,0,0,0,17,33,17,0,45,0,41,19,29,8
1356868800,0,0,0,19,22,22,28,0,0,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,4,0,0,7,32,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,10,37,18,11,32,15,8,8,10,41,0,0,0,0,0,28,26,0,0,24,0,16,38,0,12,20,20,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,0,44,0,0,2,7,27,8,0,0,0,0,0,0,7,0,0,0,0,27,18,42,34,0,28,0,45,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,42,5,33,11,31,17,8,0,11,3,24,3,46,37,13,0,0,0,0,0,34,0,0,0,0,31,0,25,0,30,0,0,0,49,30,39,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,37,28,0,0,0,0,20,0,0,0,0,0,34,12,28,0,7,9,8,21,10,25,4,11
1356868800,6,5,16,9,3,2,0,5,32,32,2,8,0,0,0,0,0,0,0,45,0,0,0,0,0,13,41,10,0,33,34,19,0,12,0,0,0,0,0,0,0,0,49,26,15,15,50,0,0,0,27,0,21,48,35,17,3,0,0,14,32,0,2,0,2,0,7,1,2,1,5,0,12,6,0,24,8,43,33,10,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,45,19,8,37,25,23,0,25,15,0,20,7,6,0,0,0,9,20,16,4,35,39,0,0,0,1,5,21,11,0,0,0,21,3,31,30,9,3,3,22,9,16,0,26,0,2,5,0,0,32,24,0,5,0,0,24,0,1,1,0,0,8,0,0,0,27,29,11,0,0,0,0,7,14,0,17,19,6,21,6,11,22,5,0,12,0,17,20,19,32,4,0,0,0,48,0,0,11,46,48,13,14,0,27,0,36,48,19,32,25,31,43,0,16,25,0,49,43,0,0,0,42,0,42,0,0,0,0,0,0,0,0,23,36,29,0,26,1,1,1,1,1,1,1,8,1,7,19,1,2,7,7,1,6,1,2
1356868800,0,0,0,49,8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,44,0,0,12,0,0,0,26,0,0,0,0,0,0,0,8,0,14,22,0,3,23,0,0,14,22,0,40,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,1,13,1,0,0,2,0,45,0,0,0,0,0,25,0,0,0,0,12,0,31,0,0,22,40,0,21,0,0,0,0,33,0,0,0,0,0,31,0,0,0,10,0,31,2,0,0,0,0,0,0,0,17,0,23,0,30,8,26,0,0,0,49,0,36,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,17,0,0,0,31,32,0,0,0,5,0,0,0,0,0,0,0,0,43,0,0,0,13,0,6,0,0,0,0,18,0,23,0,43,0,0,30,0,32,41,0,0,0,0,0,0,0,31,0,0,0,0,28,28,0,0,0,19,48,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2,14,0,34,48,44,39,0,0,0,17
